x,y,distance
-1151.1130731579178,-1795.4169152490863,0.3126045124661001
-1163.6255806419688,-1786.5818325033713,2.5138888888888875
-1202.3430781836278,-1759.032723500026,8.488754818561427
-1272.086950155319,-1708.917531333368,17.34722222222222
-1346.0618391068738,-1654.9850528932946,26.448005833748464
-1409.1895418916415,-1607.8057379423879,35.480555555555554
-1533.2857778633202,-1515.8637022105795,50.8138888888889
-1552.523314810112,-1502.0973194074415,52.432153190897964
-1780.2511938543712,-1341.9473487361886,69.47330935477083
-1802.131647139628,-1326.7133730535043,72.51388888888889
-1844.8181928048893,-1298.174038985568,88.28379538457362
-1884.0743009937162,-1271.947498940157,94.525
-2014.9050096943593,-1184.0404561958912,108.9127804524404
-2107.3211992401925,-1121.5837183606689,120.03611111111113
-2147.1069790698575,-1094.5997535307188,124.93583653000785
-2306.9904907089217,-986.1135207361318,144.32187680909283
-2373.6694971093543,-941.5060579385467,152.36944444444444
-2468.8727840020238,-877.6970869349499,163.8825377744625
-2549.848830145277,-822.4894792073399,173.7247034076024
-2644.075726239771,-759.6799423390062,185.14722222222224
-2686.0832623255546,-732.1889837019584,190.16603420194767
-2867.2331773056394,-616.4405137219711,211.6075163504718
-2918.081032502613,-584.7125809187149,218.06472222222226
-2994.0542980823147,-537.8186126704962,226.52823922351027
-3142.8068420796503,-446.51088326540554,237.99805555555557
-3277.3070645598646,-363.59786108557506,248.13671839002777
-3404.1671267787124,-283.92139903929376,261.2536111111111
-3506.344339617901,-216.94349586972208,277.80916666666667
-3556.7716647095526,-183.2411665517294,286.22490110703814
-3585.8236035345126,-163.68184058970394,291.00916666666666
-3688.8943700147797,-93.29366851675101,307.50916666666666
-3772.122959365855,-33.665701017256396,319.1650610627176
-3835.945302703598,13.617627498906995,327.1758333333333
-3876.922582451408,44.724598134654435,332.23030241854156
-3965.8466703130457,114.77287870641621,343.45361111111106
-3979.82812237303,126.18286876102759,345.2415376971964
-4079.875087800405,211.7434011855846,358.23404651991615
-4138.697594969125,266.3860133940605,366.16472222222217
-4271.881888126248,409.1627230075177,385.62869830888667
-4345.458162728637,508.9471512130546,398.27583333333325
-4363.365824648234,536.0472743068825,401.6326840924881
-4403.750741347432,603.6790604965051,409.61602133691946
-4442.342686712364,687.1738435478829,417.4091666666666
-4516.123555217428,898.9371691115598,434.9209198319879
-4542.666569611971,1010.1345234720902,448.85361111111104
-4554.712761136164,1115.7224850039452,463.1017292148675
-4558.775314527541,1157.6754778127206,467.52027777777766
-4566.629325960351,1256.3922951367203,477.02244908352407
-4568.1486561448355,1285.5317070656206,479.8758333333332
-4570.433371100923,1365.3258952818016,487.8117533391138
-4570.05009728601,1471.9874144394864,498.41944444444437
-4564.503683260933,1596.6737692770478,510.820391909097
-4552.2952702498515,1734.1836040226065,524.552069627371
-4544.542422777998,1809.306571478298,532.0305555555555
-4536.61278638123,1886.8238991602614,539.7417707865746
-4532.304679872135,1932.0465830417138,544.2527777777777
-4525.8098635802435,2007.2742908530906,551.9914131746177
-4521.107569687891,2074.577750572318,559.5861111111111
-4518.663092156811,2193.0474852085736,571.8527777777778
-4519.775477250147,2235.6239923672792,574.9905781196765
-4532.729516633412,2463.3106034441207,588.7371233559768
-4534.660767122554,2484.679237401093,590.186111111111
-4560.588256759405,2648.698118537732,605.4083333333333
-4595.23748764256,2763.3118593753575,622.115454448191
-4604.5878783945245,2792.3587540456556,626.5638888888889
-4663.691025304409,2947.034784405354,649.2215657831586
-4694.8902163373605,3012.034000607768,656.675
-4723.914650215183,3067.006093486344,662.7768452233204
-4770.326655262465,3144.7904252424173,671.7305555555555
-4821.337827283232,3220.699699631712,680.7942900357049
-4931.281797003719,3362.866093097074,698.6305555555555
-4961.6079065036465,3397.9122975910523,703.1866658324575
-5053.621126190849,3496.2408630557647,716.5638888888889
-5054.113438772001,3496.744106740478,716.6386160892981
-5195.95081110867,3632.8769823019275,736.0664864587324
-5211.0438238638235,3646.855942544794,737.4113888888888
-5362.401754234442,3786.1613048288614,749.5156762573056
-5388.0166253016305,3809.686205892643,752.3558333333334
-5512.548348657585,3931.0095018598636,779.1206530951563
-5542.864115928093,3961.874861531047,781.8002777777779
-5669.214780493381,4090.639164315937,791.4836852048651
-5699.253379018915,4121.285034087691,795.1891666666667
-5737.792037329329,4163.290109560004,808.7510753009437
-5816.0410616181525,4251.119436842796,816.8558333333333
-5888.811119170035,4333.123077266483,824.0817836128521
-5928.621744547158,4379.494038992296,832.7669444444444
-5947.2897692456845,4403.124844996518,838.2553259713469
-5963.313936303035,4423.693315231902,841.6558333333332
-6021.86453957264,4515.608196106938,851.9224999999999
-6022.294859581531,4516.576316664856,852.0071748725669
-6057.730663816094,4625.258028957525,860.2002777777776
-6066.401327850543,4662.125687865265,863.309109833931
-6070.752579316727,4687.437054431755,866.1558333333331
-6069.358248673134,4724.455551613964,873.2669444444443
-6068.914091613123,4734.08182741064,874.7233364997994
-6067.5031171865085,4781.417429564308,880.1002777777776
-6060.782551245517,4816.415769689933,882.8456515597704
-6039.333265177891,4881.512156345626,886.7113888888887
-6024.401566325111,4920.749004741,889.3385328204063
-6002.5634865046095,4961.281697543214,897.7113888888887
-5999.918083180823,4964.630197217086,898.398370755423
-5968.530165235482,5005.396786405107,903.6855555555553
-5942.362698832149,5035.682134083554,907.2646329825195
-5908.850945546224,5066.537546496534,911.852222222222
-5908.431004787556,5066.885341278715,911.9100311533612
-5852.835435587782,5104.516487376844,918.7855555555554
-5845.831072229731,5108.095151321419,919.4000055476823
-5759.106161836638,5146.144985976907,925.9363598975116
-5748.223757329602,5150.619373315388,927.1077777777776
-5722.932766967289,5159.958044793159,931.9522222222221
-5700.735394486454,5165.19370034168,935.0616947872039
-5570.619906230882,5190.0463234818835,944.6188888888887
-5535.709004618847,5195.971787469772,947.342079895027
-5479.026877562929,5204.43059766356,952.8855555555554
-5347.522128246288,5222.555608886926,972.7284192324184
-5308.003362210367,5232.163963879728,977.063333333333
-5222.715667936362,5258.933451936053,985.2802786108364
-5173.479016016159,5281.665634138579,990.3936758400855
-5162.479411327145,5287.8034432846325,991.6077777777775
-5130.378307044882,5308.185982668966,995.2940490145993
-5063.761997804655,5360.192972554599,1003.3855555555552
-5055.414484676454,5367.838521055146,1004.5371479126986
-5033.552226574891,5389.881550573711,1007.802222222222
-5020.692796785056,5405.072972709125,1009.4910597575474
-4967.204774737865,5477.984093242821,1015.3439611491387
-4961.300165774694,5486.753028794817,1016.3355555555552
-4949.623294882355,5509.929866819328,1021.4466666666664
-4946.614156411544,5518.727515251038,1022.9772410187581
-4933.723595197929,5557.599324809886,1027.2466666666664
-4928.82500816342,5582.387127287292,1029.6465396605035
-4929.19799278093,5613.623067923733,1032.8466666666666
-4931.5344743288615,5631.322378314525,1034.7244416862923
-4933.986949440032,5644.244660072368,1036.0853608656448
-4935.170704696896,5648.391096682021,1036.491111111111
-4969.738660254558,5713.6457728642745,1041.8244444444445
-4978.927821394547,5727.727101507487,1043.204840249194
-4999.828861330234,5755.3344697478,1047.2244444444443
-5037.127275496576,5789.733742621369,1053.9305351434862
-5041.264436791463,5793.5917079426345,1054.4213654403368
-5068.037676120585,5817.349540484784,1057.8577777777778
-5109.248402183468,5849.2530091273775,1063.568013568134
-5152.304701316048,5878.768345903464,1068.967877799323
-5156.359380518103,5881.383284932558,1069.4688888888888
-5194.222011634798,5904.321018868178,1074.089567540576
-5235.000333139719,5925.911028021517,1078.882398319614
-5254.531444761312,5935.9556609247265,1081.2466666666667
-5303.215900431289,5959.550831515137,1087.073488694834
-5308.232979086957,5961.763540828702,1087.6355555555556
-5385.7815241557355,5992.436152791182,1096.0705555555555
-5386.4223301281445,5992.667142558219,1096.1448238552427
-5437.054961916447,6009.910593436457,1102.3304772590668
-5524.832503064649,6036.510395520113,1112.0705555555555
-5536.1469463555,6039.470340051243,1112.9755344757382
-5622.219998711821,6060.385765956648,1118.7372222222223
-5667.324135749273,6070.911475252605,1122.306411387538
-5757.0377082814275,6089.792018240501,1136.675895362525
-5764.243548492008,6091.08359826327,1137.6261111111112
-5843.578610849012,6103.780305583412,1145.8408377841074
-5894.265680079639,6109.768669320713,1149.9594444444447
-6062.813063591845,6123.0947236940265,1162.8261111111112
-6063.387488377161,6123.12086813508,1162.8813034587897
-6200.213598398578,6118.696130548091,1181.1372222222224
-6220.256948722457,6116.642256325768,1183.5435847656531
-6313.7361145033365,6105.699570045409,1192.9705555555556
-6384.528244239963,6092.894804483512,1199.0290157627273
-6429.569961390564,6082.427050261703,1202.5705555555555
-6597.819302183567,6032.501340249482,1214.5705555555555
-6689.513759728942,6001.1951025105955,1223.231254585799
-6751.584013572177,5975.396648555901,1234.5705555555555
-6804.627712661646,5945.1435383914095,1245.1430363604597
-6823.429033921493,5934.178250588526,1247.737222222222
-6941.820267701525,5862.30512434557,1261.2499089336925
-7051.099678578274,5782.442677861439,1274.885990443173
-7075.984103114691,5761.653066765305,1277.5594444444444
-7218.04832966391,5632.319258557824,1291.2683333333334
-7244.080438212351,5606.6006282514145,1294.172905189827
-7321.523346335256,5522.213447385512,1305.1572222222223
-7377.8777652714625,5449.588089115127,1316.4461111111113
-7399.699842782995,5421.056560922172,1320.855093599689
-7463.124059992295,5337.403018633856,1333.6461111111112
-7554.629040192101,5211.657793771584,1351.312777777778
-7555.446150763095,5210.49282342075,1351.4611276934572
-7623.087447294713,5113.072830588058,1363.370152818793
-7709.9728055495025,4993.203953419781,1378.2127777777778
-7710.913262769574,4991.9339593031755,1378.3632545906412
-7790.502051149182,4885.803801644688,1390.3016666666667
-7847.683839613665,4811.050545719357,1398.0972434120354
-7958.7283895549535,4668.650547563147,1411.846111111111
-8058.441052918514,4542.531650592823,1426.0197029395663
-8094.088988150397,4497.841931378724,1433.7016666666666
-8166.800382303644,4407.667809125939,1454.4108146588962
-8210.67661519836,4352.705258689212,1462.2016666666666
-8295.230478191155,4246.5813857907115,1474.957222222222
-8315.389151588452,4221.368647446595,1478.3103139425818
-8366.676938414383,4157.466095578836,1487.757222222222
-8415.102958497435,4096.812809720224,1494.4525493354959
-8585.70053089601,3881.7280164601884,1510.7650407942294
-8660.869714595336,3787.1559859703425,1530.3055555555554
-8687.308420968926,3754.104207259355,1538.684718881963
-8820.604926955477,3588.3512540676334,1560.0647894461715
-8848.582607962724,3554.01505505414,1563.1944444444441
-8987.588830509705,3384.3993578916175,1578.1207223465942
-9018.030446216328,3347.2868215266208,1582.9944444444443
-9092.194893063677,3256.670850200677,1602.942048982205
-9108.507767285097,3236.6799474086797,1606.1722222222218
-9193.650368834487,3132.288776765211,1619.4166666666663
-9249.56878281144,3064.061248088896,1627.7497626481056
-9301.536358508476,3001.005033808678,1635.9166666666665
-9322.521128948478,2975.4612752158637,1639.3051655565732
-9448.206402782604,2820.980817094972,1659.182191736753
-9472.190976339636,2791.6397515830913,1662.4055555555553
-9604.066250701577,2630.814578349375,1678.9055555555553
-9616.154797667148,2615.9946305952344,1680.6406398899226
-9713.232115632234,2495.4938987160294,1698.772222222222
-9782.06951140095,2410.0788522618827,1712.1003989497017
-9865.427455137498,2307.8655634146166,1725.2611111111107
-9876.101068818143,2294.726928958899,1726.9996443150392
-10010.651142537137,2128.7669345709323,1748.4388888888886
-10011.36145696203,2127.904785946753,1748.5215880437083
-10192.84762996771,1909.4379257419318,1766.7260257843257
-10205.63909762948,1894.013593777819,1768.3055555555552
-10335.85024307579,1736.8774888510732,1798.205555555555
-10342.64518705975,1729.100209528,1799.9028677852814
-10702.985390459522,1292.1893959984177,1855.7630555555552
-10755.653689180112,1206.3679863235222,1861.7409206359696
-10866.881103401483,1010.3668069249608,1874.596970658006
-10887.794651763672,972.2288221641257,1878.5186111111107
-10911.257214938043,905.7543759002738,1894.749562434766
-10933.555019869122,818.3158706858525,1902.740833333333
-10973.244793003856,646.4330690904887,1915.1909657961119
-10978.996264726453,585.276926606123,1922.640833333333
-10975.053198361671,526.2967728679823,1932.101156439432
-10974.510688536055,502.2772728960383,1935.0408333333328
-10964.960917708011,380.5602096067067,1945.9915636354908
-10937.603997832217,275.863954002013,1952.6408333333327
-10925.956102064201,237.83451340384195,1955.6035326864535
-10913.306219813125,201.5713451053352,1960.2408333333326
-10893.531412484454,168.9241404135802,1968.6846087924532
-10862.548256828586,118.58791070161067,1974.9074999999993
-10834.319872978052,77.93516531614438,1979.5691576382317
-10806.814767959751,45.7747677944295,1983.9074999999996
-10775.121028049003,15.96342369896475,1988.420630068455
-10711.108157914592,-30.444561508736395,1996.084166666666
-10695.109473236067,-40.27847435236693,1997.8916656784977
-10633.361338254326,-73.40996822712258,2004.695277777777
-10616.620801700687,-81.56440949511459,2006.5054810866677
-10552.596013278844,-110.43267291809755,2013.3619444444437
-10519.10880495524,-123.18664502753391,2016.9515312549706
-10109.766676742656,-167.9031342214528,2059.7508333333326
-10109.298277226002,-167.91170916704056,2059.796041631644
-10034.20436721276,-169.2918102224294,2066.953350814072
-9943.378848169046,-173.55042468143338,2075.6508333333327
-9898.798012611347,-178.57184974585925,2079.9823120322444
-9825.254913839266,-192.98504514660007,2087.395277777777
-9818.183656012472,-194.76831572302206,2088.227481439684
-9755.348937319724,-217.58931760294445,2097.1802135244407
-9700.404646753024,-243.68768793754413,2102.959660038593
-9694.22685919399,-246.89736917694472,2103.6508333333327
-9674.896383627009,-257.80606292526807,2105.8768294799625
-9640.786190338455,-281.99205485844817,2109.473055555555
-9543.054502846186,-372.9821550045717,2119.1952777777774
-9542.786418164265,-373.2658265896395,2119.229130011784
-9489.127013707996,-444.79006284067003,2129.7730555555554
-9475.335455564793,-470.9713415025891,2133.6458937295884
-9453.183415359588,-519.4658825352682,2139.9063888888886
-9441.492581197595,-551.8395049203774,2143.681506637188
-9429.823497085685,-599.4612696502691,2148.6176882994787
-9426.78122482993,-628.2678663151311,2150.9755555555553
-9426.089250938518,-706.3960881413122,2156.9355780142855
-9427.501468148152,-727.3680316744404,2159.22
-9443.564303716319,-779.0502176207372,2166.930481710016
-9445.79560760591,-783.8593690179407,2167.4644444444443
-9493.94277116021,-873.3274573175783,2175.8644444444444
-9494.285755182018,-873.8781373554481,2175.925184253182
-9531.654961609458,-923.2542924368905,2183.2644444444445
-9558.697277333014,-949.1719340069096,2187.815076144796
